CANDIDATO_ID;CANDIDATO;CURSO_ID;CURSO;PROCESSO_ID;PROCESSO;PERIODO_LETIVO;FORMA_PAGAMENTO_ID;FORMA_PAGAMENTO;BOLSA_ESTUDO;CALL_CENTER;VALOR;DATA_PREINSCRICAO;HORA_PREINSCRICAO;DATA_INSCRICAO;HORA_INSCRICAO;DATA_PAGINSCRICAO;HORA_PAGINSCRICAO
14156;Candidato 14156;4;Curso 4;22;Processo 22;2019/2;;;0;0;;20190420;1245;20190420;1253;;
14157;Candidato 14157;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;2335;20190212;2357;;
14158;Candidato 14158;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;2343;20190212;2346;;
14159;Candidato 14159;12;Curso 12;15;Processo 15;2019/1;;;;;;20190213;1;;;;
14159;Candidato 14159;4;Curso 4;22;Processo 22;2019/2;;;;;;20190425;1421;;;;
14160;Candidato 14160;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;12;20190213;14;;
14161;Candidato 14161;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;12;20190213;15;20190215;0
14162;Candidato 14162;12;Curso 12;15;Processo 15;2019/1;;;;;;20190213;12;;;;
14163;Candidato 14163;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;16;20190213;1821;;
14164;Candidato 14164;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;23;20190213;27;;
14165;Candidato 14165;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;26;20190213;28;;
14166;Candidato 14166;6;Curso 6;15;Processo 15;2019/1;;;;;;20190213;32;;;;
14167;Candidato 14167;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;53;;;;
14168;Candidato 14168;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;105;20190213;113;;
14169;Candidato 14169;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;108;20190213;113;;
14170;Candidato 14170;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;130;;;;
14171;Candidato 14171;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;156;;;;
14172;Candidato 14172;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;1126;20190214;1136;20190215;0
14173;Candidato 14173;4;Curso 4;16;Processo 16;2019/1;2;Cartão de Crédito;0;0;100.00;20190213;1150;20190213;1200;20190213;1204
14174;Candidato 14174;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1211;20190213;1212;;
14175;Candidato 14175;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1223;;;;
14176;Candidato 14176;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1224;20190213;1227;;
14177;Candidato 14177;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;1225;20190213;1233;20190214;0
14178;Candidato 14178;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1225;20190213;1233;;
14179;Candidato 14179;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1239;;;;
14180;Candidato 14180;9;Curso 9;15;Processo 15;2019/1;1;Boleto;0;0;50.00;20190213;1252;20190213;1257;20190213;0
14181;Candidato 14181;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;1259;20190214;842;20190214;0
14182;Candidato 14182;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1301;20190213;1307;;
14183;Candidato 14183;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1328;;;;
14184;Candidato 14184;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1332;;;;
14185;Candidato 14185;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1337;20190213;1341;;
14186;Candidato 14186;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1337;;;;
14187;Candidato 14187;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1338;;;;
14188;Candidato 14188;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1403;;;;
14189;Candidato 14189;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1404;20190213;1407;;
14190;Candidato 14190;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1404;;;;
14191;Candidato 14191;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1406;20190213;1408;;
14192;Candidato 14192;4;Curso 4;16;Processo 16;2019/1;2;Cartão de Crédito;0;0;100.00;20190213;1409;20190213;1413;20190213;1415
14193;Candidato 14193;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1420;;;;
